,Employee_Id,Department_Id,Yearly_Salary
0,520,7,804605
1,9289,6,424139
2,4369,1,647178
3,6614,1,419357
4,4735,8,86767
5,7381,5,977503
6,9157,8,498464
7,8568,4,56098
8,7181,2,641072
9,3514,4,885045
10,6088,2,996547
11,2059,4,47935
12,9511,8,831398
13,9545,4,403092
14,7398,1,615624
15,7306,5,417193
16,5946,4,734483
17,9012,5,99505
18,4061,9,830363
19,3318,2,132969
20,7314,5,56199
21,9132,5,867276
22,156,4,963782
23,2306,8,616380
24,3634,8,840881
25,5523,6,174441
26,4529,6,496347
27,7658,4,945166
28,813,3,468511
29,7272,8,912224
30,1270,2,566836
31,3294,3,110391
32,5931,8,404187
33,858,3,393807
34,9032,1,634685
35,3049,7,237708
36,4775,1,996027
37,9364,8,639557
38,8757,4,233917
39,4556,4,583489
40,1043,6,979896
41,1085,8,616792
42,6365,3,765401
43,2358,1,376214
44,9951,4,220764
45,7420,4,319340
46,9090,3,905904
47,4911,1,985470
48,2547,6,848736
49,4753,3,785272
50,6044,6,874234
51,9130,5,790762
52,9036,5,635297
53,5585,4,597458
54,1491,9,448545
55,6456,7,745687
56,6808,8,134151
57,3298,3,101691
58,8982,8,303169
59,4950,8,287187
60,6842,9,199319
61,2055,6,20710
62,3281,7,216003
63,6624,8,699610
64,9020,1,924098
65,8538,6,18498
66,2149,9,98888
67,3785,1,674308
68,9532,2,932309
69,7107,1,560517
70,6792,7,998526
71,7499,6,258636
72,7233,4,934715
73,6892,4,141073
74,2283,6,258554
75,230,2,777362
76,2704,3,737630
77,2449,3,938188
78,7791,2,115488
79,6755,5,496444
80,7804,1,552761
81,4712,9,536355
82,3117,3,425597
83,9427,1,921555
84,6712,3,738431
85,1287,8,331722
86,8907,9,217555
87,7256,6,922216
88,1010,5,857244
89,6161,8,200849
90,518,9,599964
91,8365,1,840111
92,9332,2,866249
93,7669,5,687051
94,326,1,806525
95,9205,6,389464
96,2373,1,458969
97,957,1,425841
98,282,1,328842
99,2367,8,194457
100,8113,2,655049
101,7192,9,316652
102,742,2,572933
103,7754,7,993604
104,203,7,910651
105,7005,7,267029
106,6990,3,917244
107,2626,8,663106
108,1815,4,525011
109,4720,1,563295
110,3578,7,76732
111,4231,2,152745
112,993,8,752508
113,7285,8,515001
114,754,8,560755
115,705,4,239362
116,4167,1,924462
117,8382,3,17480
118,9340,2,796506
119,7260,3,110122
120,5073,7,825678
121,1246,4,875149
122,3626,6,263505
123,7949,6,56205
124,1581,7,602520
125,6628,3,398857
126,1886,7,408057
127,1226,9,921199
128,5315,4,590335
129,2425,4,209393
130,276,7,458804
131,2936,8,726882
132,4332,4,878441
133,3940,7,512976
134,9385,3,55104
135,3287,1,893849
136,7085,1,882741
137,6580,9,145360
138,2188,2,74214
139,8429,8,659902
140,7286,3,766643
141,9282,7,516613
142,3664,6,845072
143,2929,2,969871
144,4158,2,153415
145,3094,3,198149
146,8607,2,727796
147,5563,5,484611
148,8116,9,992089
149,4950,2,967718
150,1725,8,62433
151,707,6,257010
152,474,7,378246
153,1577,1,990686
154,8081,7,656075
155,6679,8,272033
156,8721,8,822356
157,4798,6,466588
158,9145,6,806735
159,6249,5,997874
160,3541,5,981754
161,4409,1,158694
162,9212,9,74575
163,8424,4,191061
164,1503,6,770410
165,8992,3,306019
166,8591,7,922743
167,9200,5,255950
168,6442,1,674046
169,2681,9,506154
170,8420,3,840184
171,2027,7,483713
172,8533,9,309299
173,8281,8,336800
174,5438,2,355540
175,9382,6,226112
176,9452,5,667371
177,6862,9,378878
178,205,1,542180
179,7011,7,471256
180,7786,2,947807
181,6628,8,721973
182,4398,7,472639
183,5891,3,689952
184,9847,5,113506
185,8953,8,723655
186,9722,8,94506
187,1957,9,872167
188,8634,8,853989
189,6460,5,867295
190,8146,4,209586
191,3726,6,242978
192,9697,8,782884
193,5424,9,668208
194,698,1,146058
195,8698,2,650155
196,5058,8,771233
197,136,3,923870
198,3171,7,547393
199,5398,6,303700
200,9151,9,390821
201,9037,1,287772
202,9251,1,184457
203,7760,9,712983
204,6598,9,34502
205,7440,1,86752
206,2471,4,737660
207,4123,3,541450
208,1704,4,835770
209,2987,9,870368
210,9808,1,78854
211,5297,8,618624
212,3994,3,618015
213,6567,1,603368
214,3114,3,862336
215,5696,9,473327
216,1394,6,473983
217,4844,9,265765
218,5767,4,90197
219,1594,3,843319
220,3616,9,123259
221,4406,5,463542
222,6344,2,512413
223,4696,8,419808
224,2132,8,399968
225,7598,2,748824
226,9185,6,749554
227,7859,1,843066
228,6858,2,15720
229,6846,3,225239
230,5828,7,237215
231,3325,2,260790
232,3371,2,783588
233,1551,1,191864
234,4223,7,735714
235,3608,5,175763
236,7489,7,483840
237,5773,2,715720
238,7878,2,840608
239,7103,6,213511
240,9629,1,542131
241,7984,8,368803
242,4444,2,128737
243,8763,4,890595
244,5285,7,923024
245,5495,2,780132
246,8796,9,762752
247,8224,6,775814
248,1014,3,651891
249,8844,6,775662
250,3593,6,370349
251,8835,4,803175
252,5896,3,517213
253,7391,2,145380
254,8420,7,435049
255,1926,9,121844
256,981,5,376838
257,3772,9,476252
258,8293,6,304883
259,62,6,49573
260,6231,7,146282
261,7621,9,654260
262,7290,2,101530
263,5381,1,763328
264,4470,8,625163
265,748,7,446738
266,578,2,612644
267,9355,5,60295
268,4538,3,607816
269,6625,3,212782
270,5468,7,730470
271,5169,9,163475
272,9610,9,742971
273,3792,4,711234
274,2633,3,990320
275,690,5,725443
276,4965,7,296143
277,235,3,458332
278,4328,8,62809
279,9937,5,364259
280,905,8,150893
281,6634,3,970818
282,4730,9,661920
283,7624,9,252727
284,8178,1,34879
285,6157,8,667360
286,2701,8,428389
287,3594,2,822991
288,5584,4,927570
289,6622,8,157000
290,5915,8,334085
291,4623,3,723781
292,4300,1,973227
293,2332,7,319797
294,4859,1,731638
295,9691,1,198809
296,3092,5,145908
297,2500,7,432708
298,4367,4,722005
299,7822,6,873972
300,3074,5,427092
301,8364,7,744751
302,1886,4,616673
303,5598,5,669157
304,398,7,808573
305,8578,9,325950
306,7391,7,338871
307,9617,8,687503
308,1481,9,42167
309,5553,9,811304
310,5389,6,894053
311,2374,5,847482
312,2777,1,156487
313,9617,4,163025
314,8872,9,286667
315,8203,9,551823
316,7877,4,580391
317,1594,3,502928
318,9385,2,528946
319,2862,2,998278
320,9702,4,656448
321,3152,6,641727
322,548,9,71864
323,6769,3,923539
324,1910,4,372549
325,782,4,876357
326,7151,2,135574
327,5932,2,433230
328,6055,1,87787
329,6893,5,784705
330,8621,8,595213
331,702,1,786512
332,1690,1,985941
333,8492,1,46808
334,3620,1,22536
335,7315,9,589494
336,1147,1,927535
337,4756,2,199724
338,1415,1,107867
339,3748,9,265307
340,2776,8,388848
341,1830,6,305204
342,7079,8,128124
343,428,2,927341
344,5458,8,327062
345,2121,6,44125
346,7829,5,19424
347,9464,5,116851
348,4940,3,541994
